PM 2.5,PM 10,CO,CO2
67.6,81.8,1.98018,403.70139
72.2,86.7,2.11716,403.66772
98.0,114.3,1.90774,403.70139
106.9,124.5,1.95276,403.74213
109.9,129.0,1.97101,403.73529
116.4,134.2,2.01256,403.7901
119.4,137.89999,1.98939,403.86655
126.3,147.60001,2.00327,403.88055
144.7,170.10001,2.0219,403.90875
158.89999,181.2,2.04066,403.93002
162.3,188.5,2.26174,403.91583
164.10001,190.89999,2.0501,403.98718
170.0,198.2,2.10747,403.93002
186.39999,212.39999,2.2823,404.02325
188.3,215.10001,2.28746,403.92291
173.60001,201.3,2.04066,403.93713
167.5,193.60001,2.0501,404.03778
163.5,190.5,2.25662,403.98718
155.0,181.5,2.17604,404.04504
155.7,182.8,2.09301,403.98001
142.3,163.7,2.33962,403.93713
145.3,171.60001,2.27714,403.98001
150.2,175.5,2.28746,403.98001
146.7,171.8,2.272,404.00879
147.89999,172.89999,2.38205,404.04504
143.39999,164.3,2.14153,404.00879
149.39999,171.60001,2.33962,403.95139
143.5,165.2,2.1612,403.95853
133.39999,155.10001,2.41427,403.90875
130.39999,152.10001,2.35017,403.9017
129.7,151.7,2.20097,403.94424
106.8,121.7,2.272,403.85254
114.1,132.5,2.0882,403.90875
105.8,121.8,2.1612,403.89465
104.3,122.6,2.32911,403.82468
107.3,123.6,2.18598,403.89465
110.7,127.5,2.12688,403.86655
109.5,125.9,2.10747,403.86655
93.8,111.2,2.36606,403.90875
107.3,124.0,2.09301,403.87354
102.6,119.2,2.37671,403.86655
100.3,114.8,2.10264,403.81775
100.0,115.0,2.07862,403.83859
97.3,112.6,2.10264,403.83859
95.2,110.8,2.05957,403.86655
93.3,107.5,2.05957,403.85254
91.9,106.5,2.30301,403.83859
94.9,108.9,2.10264,403.88055
89.4,103.3,2.10264,403.85953
88.1,101.7,2.25152,403.87354
78.9,91.6,2.211,403.83859
78.3,90.6,2.36075,403.85254
76.3,87.9,2.272,403.88055
78.8,92.6,2.06908,403.82468
76.0,86.7,2.12201,403.797
76.6,88.5,2.32387,403.76947
81.7,94.3,2.07862,403.74893
77.4,90.0,2.0501,403.77634
79.9,92.2,2.36075,403.6879
79.2,91.6,2.22613,403.72849
80.8,93.1,2.32911,403.73529
81.0,94.8,2.0501,403.74213
81.1,94.7,2.22108,403.70139
82.5,96.8,2.21603,403.7832
72.5,88.1,2.0219,403.797
72.9,87.6,2.03596,403.77634
74.5,90.7,2.06908,403.49036
75.1,92.5,2.32387,403.56174
77.0,91.0,2.25152,403.6879
74.5,88.9,2.19097,403.73529
76.2,89.1,2.08341,403.74893
71.1,84.7,2.0882,403.77634
70.7,85.0,2.13175,403.73529
69.8,84.0,2.16614,403.71494
68.2,79.9,2.22613,403.72849
69.4,81.8,1.96187,403.73529
66.5,80.5,1.95276,403.70816
65.1,76.9,2.14643,403.72171
68.9,80.7,2.19596,403.68115
67.2,78.2,2.20598,403.66772
66.7,78.4,2.20598,403.72171
